Model,Accuracy,Precision,Recall,F1 Score,Training Time
LogisticRegression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104,0.9695172309875488
RandomForest,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222,0.5334615707397461
DecisionTree,0.9210526315789473,0.9428571428571428,0.9295774647887324,0.9361702127659575,0.01241302490234375
GradientBoosting,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965,0.6154780387878418
SVM,0.9473684210526315,0.922077922077922,1.0,0.9594594594594594,0.07693982124328613
